Descriptor,Statistics,p,alpha,Interpretation
ABC,1129331272.0,2.2248775551800695e-07,0.05,Different distribution (reject H0)
ABCGG,1101537962.5,4.84619414901342e-31,0.05,Different distribution (reject H0)
nAcid,1138705819.5,3.0374301923293935e-24,0.05,Different distribution (reject H0)
nBase,1019580548.0,0.0,0.05,Different distribution (reject H0)
SpAbs_A,1135998510.0,0.00023731134516261345,0.05,Different distribution (reject H0)
SpMax_A,1017232951.0,1.1210608051266855e-213,0.05,Different distribution (reject H0)
SpDiam_A,986604736.0,0.0,0.05,Different distribution (reject H0)
SpAD_A,1135998582.0,0.00023732626546039856,0.05,Different distribution (reject H0)
SpMAD_A,1059010890.0,2.9105963253497653e-102,0.05,Different distribution (reject H0)
LogEE_A,1140390601.5,0.006736975603734666,0.05,Different distribution (reject H0)
VE1_A,1104376607.0,8.459959915934296e-28,0.05,Different distribution (reject H0)
VE2_A,1119627838.5,1.3326702721997126e-13,0.05,Different distribution (reject H0)
VE3_A,1135615546.5,0.00016922219826686504,0.05,Different distribution (reject H0)
VR1_A,1134110972.5,4.166328696013291e-05,0.05,Different distribution (reject H0)
VR2_A,1107411276.5,1.5310394340894909e-24,0.05,Different distribution (reject H0)
VR3_A,1131780319.5,3.769993761123814e-06,0.05,Different distribution (reject H0)
nAromAtom,1015452869.5,1.0434741551117134e-229,0.05,Different distribution (reject H0)
nAromBond,1012465631.5,1.114724017671194e-239,0.05,Different distribution (reject H0)
nAtom,1127043091.0,1.1793329560752441e-08,0.05,Different distribution (reject H0)
nHeavyAtom,1141595965.0,0.014162278345155523,0.05,Different distribution (reject H0)
nSpiro,1117265124.0,5.914755833097683e-106,0.05,Different distribution (reject H0)
nBridgehead,1132317738.0,1.0700110603666342e-38,0.05,Different distribution (reject H0)
nHetero,1096287029.5,3.938125099777084e-38,0.05,Different distribution (reject H0)
nH,1101557369.5,4.6263310679705645e-31,0.05,Different distribution (reject H0)
nB,1150968231.0,0.15866029724721098,0.05,Same distribution (fail to reject H0)
nC,1149768271.0,0.38752417413536977,0.05,Same distribution (fail to reject H0)
nN,1020702250.0,2.454655654454327e-221,0.05,Different distribution (reject H0)
nO,1028372737.0,1.2175067724523044e-185,0.05,Different distribution (reject H0)
nS,1110575529.0,4.462650874769241e-34,0.05,Different distribution (reject H0)
nP,1150944241.5,0.29647945246891194,0.05,Same distribution (fail to reject H0)
nF,1069790390.5,1.0279705697244013e-155,0.05,Different distribution (reject H0)
nCl,1140484157.0,7.850006741540462e-10,0.05,Different distribution (reject H0)
nBr,1142382477.5,2.8821014938246334e-16,0.05,Different distribution (reject H0)
nI,1150944242.5,0.3085292825729097,0.05,Same distribution (fail to reject H0)
nX,1105031808.0,5.537606233820357e-41,0.05,Different distribution (reject H0)
ATS0dv,1106322659.5,1.0998597568523491e-25,0.05,Different distribution (reject H0)
ATS1dv,1086904356.0,9.419495696448579e-51,0.05,Different distribution (reject H0)
ATS2dv,1078936591.5,1.3408982721808369e-63,0.05,Different distribution (reject H0)
ATS3dv,1134197111.5,4.52904351033497e-05,0.05,Different distribution (reject H0)
ATS4dv,1144040700.5,0.052591557018068134,0.05,Same distribution (fail to reject H0)
ATS5dv,1124673146.0,4.2758950962858294e-10,0.05,Different distribution (reject H0)
ATS6dv,1110400613.0,1.526380024365855e-21,0.05,Different distribution (reject H0)
ATS7dv,1129604664.0,3.0994458635847265e-07,0.05,Different distribution (reject H0)
ATS8dv,1105876244.0,3.6672369169558045e-26,0.05,Different distribution (reject H0)
ATS0d,1141260113.0,0.011654262421159984,0.05,Different distribution (reject H0)
ATS1d,1150396977.0,0.44482885052991755,0.05,Same distribution (fail to reject H0)
ATS2d,1143829278.5,0.04750827375379546,0.05,Different distribution (reject H0)
ATS3d,1134094808.5,4.101745964804009e-05,0.05,Different distribution (reject H0)
ATS4d,1141123667.5,0.010720736301312287,0.05,Different distribution (reject H0)
ATS5d,1143130735.0,0.03345186478678842,0.05,Different distribution (reject H0)
ATS6d,1150507360.5,0.4550117482712183,0.05,Same distribution (fail to reject H0)
ATS7d,1143459080.0,0.039562063636591455,0.05,Different distribution (reject H0)
ATS8d,1144305286.5,0.05955016355606106,0.05,Same distribution (fail to reject H0)
ATS0s,1125169984.0,8.800337054425986e-10,0.05,Different distribution (reject H0)
ATS1s,1144984259.5,0.08071047118571462,0.05,Same distribution (fail to reject H0)
ATS2s,1125301106.0,1.062382117518591e-09,0.05,Different distribution (reject H0)
ATS3s,1134096740.5,4.109502444061925e-05,0.05,Different distribution (reject H0)
ATS4s,1133200285.5,1.685297338490586e-05,0.05,Different distribution (reject H0)
ATS5s,1130175004.5,6.111641349083668e-07,0.05,Different distribution (reject H0)
ATS6s,1130434987.5,8.281582519201655e-07,0.05,Different distribution (reject H0)
ATS7s,1139351724.5,0.0033326997180036324,0.05,Different distribution (reject H0)
ATS8s,1132103400.0,5.3499696089248485e-06,0.05,Different distribution (reject H0)
ATS0Z,1066086236.5,1.8327467599719472e-87,0.05,Different distribution (reject H0)
ATS1Z,1127238740.5,1.544149534298633e-08,0.05,Different distribution (reject H0)
ATS2Z,1117920934.5,6.384924270684891e-15,0.05,Different distribution (reject H0)
